Date,Open,High,Low,Close,Adj Close,Volume
12/30/2022,83.12,84.05,82.47,84,84,"62,401,200"
12/29/2022,82.87,84.55,82.55,84.18,84.18,"54,995,900"
12/28/2022,82.8,83.48,81.69,81.82,81.82,"58,228,600"
12/27/2022,84.97,85.35,83,83.04,83.04,"57,284,000"
12/23/2022,83.25,85.78,82.93,85.25,85.25,"57,433,700"
12/22/2022,85.52,85.68,82.25,83.79,83.79,"81,431,300"
12/21/2022,86.18,87.23,85.21,86.77,86.77,"59,267,200"
12/20/2022,85.33,86.61,84.33,85.19,85.19,"74,348,300"
12/19/2022,87.51,87.63,84.51,84.92,84.92,"83,531,500"
12/16/2022,88.27,89.35,86.73,87.86,87.86,"146,144,100"
12/15/2022,89.89,89.97,87.47,88.45,88.45,"84,802,900"
12/14/2022,92.5,93.46,89.87,91.58,91.58,"70,298,000"
12/13/2022,95.23,96.25,90.52,92.49,92.49,"100,212,000"
12/12/2022,89.21,90.58,87.87,90.55,90.55,"61,999,800"
12/9/2022,88.9,90.3,88.63,89.09,89.09,"67,398,500"
12/8/2022,89.24,90.86,87.88,90.35,90.35,"73,305,900"
12/7/2022,88.34,89.89,87.48,88.46,88.46,"68,086,900"
12/6/2022,90.5,91.04,87.9,88.25,88.25,"75,503,600"
12/5/2022,93.05,94.06,90.82,91.01,91.01,"71,535,500"
12/2/2022,94.48,95.36,93.78,94.13,94.13,"72,496,400"
12/1/2022,96.99,97.23,94.92,95.5,95.5,"68,488,000"
11/30/2022,92.47,96.54,91.53,96.54,96.54,"102,805,800"
11/29/2022,94.04,94.41,91.44,92.42,92.42,"65,567,300"
11/28/2022,93.93,96.4,93.43,93.95,93.95,"74,943,100"
11/25/2022,93.79,94.43,93.07,93.41,93.41,"35,088,600"
11/23/2022,93.24,94.58,92.83,94.13,94.13,"59,414,700"
11/22/2022,92.62,93.35,90.87,93.2,93.2,"62,192,000"
11/21/2022,93.97,95.02,90.59,92.46,92.46,"84,330,300"
11/18/2022,95.95,95.99,92.48,94.14,94.14,"72,428,200"
11/17/2022,95.37,96.97,94.03,94.85,94.85,"82,617,900"
11/16/2022,96.85,98.49,95.54,97.12,97.12,"87,958,800"
11/15/2022,103.21,103.79,97.34,98.94,98.94,"111,336,300"
11/14/2022,98.77,100.12,97.29,98.49,98.49,"99,533,100"
11/11/2022,97.88,101.19,96.66,100.79,100.79,"111,590,500"
11/10/2022,92.94,98.69,91.65,96.63,96.63,"173,414,900"
11/9/2022,89.47,89.48,85.87,86.14,86.14,"90,796,200"
11/8/2022,90.79,91.72,88.23,89.98,89.98,"88,703,400"
11/7/2022,91.95,92.1,89.04,90.53,90.53,"77,495,700"
11/4/2022,91.49,92.44,88.04,90.98,90.98,"129,101,300"
11/3/2022,92.47,93.5,89.02,89.3,89.3,"136,683,300"
11/2/2022,97.32,97.74,92.01,92.12,92.12,"135,761,800"
11/1/2022,103.99,104.58,96.06,96.79,96.79,"153,370,000"
10/31/2022,103.56,104.87,100.74,102.44,102.44,"99,251,400"
10/28/2022,97.91,103.96,97.66,103.41,103.41,"223,133,400"
10/27/2022,113.92,114.12,109.77,110.96,110.96,"129,605,400"
10/26/2022,116,119.35,114.76,115.66,115.66,"68,802,300"
10/25/2022,119.65,121.32,118.95,120.6,120.6,"50,934,600"
