Date,Open,High,Low,Close,Adj Close,Volume
12/30/2022,128.41,129.95,127.43,129.93,128,"77,034,200"
12/29/2022,127.99,130.48,127.73,129.61,127.68,"75,703,700"
12/28/2022,129.67,131.03,125.87,126.04,124.17,"85,438,400"
12/27/2022,131.38,131.41,128.72,130.03,128.1,"69,007,800"
12/23/2022,130.92,132.42,129.64,131.86,129.9,"63,814,900"
12/22/2022,134.35,134.56,130.3,132.23,130.26,"77,852,100"
12/21/2022,132.98,136.81,132.75,135.45,133.44,"85,928,000"
12/20/2022,131.39,133.25,129.89,132.3,130.33,"77,432,800"
12/19/2022,135.11,135.2,131.32,132.37,130.4,"79,592,600"
12/16/2022,136.69,137.65,133.73,134.51,132.51,"160,156,900"
12/15/2022,141.11,141.8,136.03,136.5,134.47,"98,931,900"
12/14/2022,145.35,146.66,141.16,143.21,141.08,"82,291,200"
12/13/2022,149.5,149.97,144.24,145.47,143.31,"93,886,200"
12/12/2022,142.7,144.5,141.06,144.49,142.34,"70,462,700"
12/9/2022,142.34,145.57,140.9,142.16,140.05,"76,097,000"
12/8/2022,142.36,143.52,141.1,142.65,140.53,"62,128,300"
12/7/2022,142.19,143.37,140,140.94,138.85,"69,721,100"
12/6/2022,147.07,147.3,141.92,142.91,140.79,"64,727,200"
12/5/2022,147.77,150.92,145.77,146.63,144.45,"68,826,400"
12/2/2022,145.96,148,145.65,147.81,145.61,"65,447,400"
12/1/2022,148.21,149.13,146.61,148.31,146.11,"71,250,400"
11/30/2022,141.4,148.72,140.55,148.03,145.83,"111,380,900"
11/29/2022,144.29,144.81,140.35,141.17,139.07,"83,763,800"
11/28/2022,145.14,146.64,143.38,144.22,142.08,"69,246,000"
11/25/2022,148.31,148.88,147.12,148.11,145.91,"35,195,900"
11/23/2022,149.45,151.83,149.34,151.07,148.82,"58,301,400"
11/22/2022,148.13,150.42,146.93,150.18,147.95,"51,804,100"
11/21/2022,150.16,150.37,147.72,148.01,145.81,"58,724,100"
11/18/2022,152.31,152.7,149.97,151.29,149.04,"74,829,600"
11/17/2022,146.43,151.48,146.15,150.72,148.48,"80,389,400"
11/16/2022,149.13,149.87,147.29,148.79,146.58,"64,218,300"
11/15/2022,152.22,153.59,148.56,150.04,147.81,"89,868,300"
11/14/2022,148.97,150.28,147.43,148.28,146.08,"73,374,100"
11/11/2022,145.82,150.01,144.37,149.7,147.48,"93,979,700"
11/10/2022,141.24,146.87,139.5,146.87,144.69,"118,854,000"
11/9/2022,138.5,138.55,134.59,134.87,132.87,"74,917,800"
11/8/2022,140.41,141.43,137.49,139.5,137.43,"89,908,500"
11/7/2022,137.11,139.15,135.67,138.92,136.86,"83,374,600"
11/4/2022,0.23 Dividend,,,,,
11/4/2022,142.09,142.67,134.38,138.38,136.32,"140,814,800"
11/3/2022,142.06,142.8,138.75,138.88,136.59,"97,918,500"
11/2/2022,148.95,152.17,145,145.03,142.64,"93,604,600"
11/1/2022,155.08,155.45,149.13,150.65,148.17,"80,379,300"
10/31/2022,153.16,154.24,151.92,153.34,150.81,"97,943,200"
10/28/2022,148.2,157.5,147.82,155.74,153.17,"164,762,400"
10/27/2022,148.07,149.05,144.13,144.8,142.41,"109,180,200"
10/26/2022,150.96,151.99,148.04,149.35,146.89,"88,194,300"
10/25/2022,150.09,152.49,149.36,152.34,149.83,"74,732,300"
10/24/2022,147.19,150.23,146,149.45,146.99,"75,981,900"
