Date,Open,High,Low,Close,Adj Close,Volume
12/30/2022,118.16,120.42,117.74,120.34,119.6,"19,583,800"
12/29/2022,116.4,121.03,115.77,120.26,119.52,"22,366,200"
12/28/2022,116.25,118.15,115.51,115.62,114.91,"19,612,500"
12/27/2022,117.93,118.6,116.05,116.88,116.16,"21,392,300"
12/23/2022,116.03,118.18,115.54,118.04,117.32,"17,796,600"
12/22/2022,117.2,118.62,114.38,117.12,116.4,"23,618,100"
12/21/2022,116.7,120.34,115.62,119.76,119.03,"20,392,800"
12/20/2022,113.26,117.33,112.46,117.09,116.37,"28,742,500"
12/19/2022,116.83,117.8,114.33,114.48,113.78,"29,769,900"
12/16/2022,120.23,123.31,118.82,119.43,118.7,"67,064,000"
12/15/2022,118.33,118.63,114.01,116.15,115.44,"34,531,000"
12/14/2022,119.39,124.14,119.39,121.59,120.85,"36,922,000"
12/13/2022,122.13,123.3,118.64,120.15,119.41,"44,701,100"
12/12/2022,115.18,115.72,113.14,114.71,114.01,"24,747,100"
12/9/2022,115.3,117.54,113.87,115.9,115.19,"26,033,400"
12/8/2022,116.39,117.34,114.59,115.33,114.62,"30,619,400"
12/7/2022,113.76,115.88,112.88,113.93,113.23,"29,461,100"
12/6/2022,119.91,120.55,113.74,114.12,113.42,"43,689,200"
12/5/2022,121.75,124.67,121.35,122.43,121.68,"35,474,900"
12/2/2022,117.83,124.04,117.61,123.49,122.73,"39,950,500"
12/1/2022,119.2,121.2,118.4,120.44,119.7,"36,551,400"
11/30/2022,109.51,118.16,109.38,118.1,117.38,"43,348,600"
11/29/2022,109.54,110.94,108.54,109.46,108.79,"23,899,200"
11/28/2022,110.78,112.04,108.38,108.78,108.11,"23,309,400"
11/25/2022,111.3,112.73,111.02,111.41,110.73,"12,007,600"
11/23/2022,111.72,112.67,110.73,112.24,111.55,"21,343,100"
11/22/2022,109.86,111.62,108.32,111.44,110.76,"29,029,000"
11/21/2022,111.52,112.37,109.19,109.86,109.19,"24,351,100"
11/18/2022,113.8,114.32,110.62,112.05,111.36,"33,357,700"
11/17/2022,110.41,112.33,109.8,111.45,110.77,"35,093,800"
11/16/2022,114.5,116.08,112.66,113.23,112.54,"33,287,800"
11/15/2022,116.07,118.74,114.41,117.08,116.36,"50,670,500"
11/14/2022,110.99,116.27,110.8,114.22,113.52,"53,395,000"
11/11/2022,109.23,114.9,108.81,113.02,112.33,"59,961,700"
11/10/2022,107.12,112.75,104.61,111.87,111.18,"80,671,000"
11/9/2022,101.72,104.9,100.74,101.47,100.85,"107,677,300"
11/8/2022,95.92,97.8,94.79,96.47,95.88,"52,088,300"
11/7/2022,94.78,96.88,93.1,96.72,96.13,"81,987,300"
11/4/2022,90.35,91.39,88.09,90.79,90.23,"55,638,100"
11/3/2022,90.08,90.46,88.41,88.91,88.37,"60,664,000"
11/2/2022,94.21,95.2,90.48,90.54,89.99,"71,821,100"
11/1/2022,94.33,97.49,93.55,95.2,94.62,"110,189,600"
10/31/2022,98.22,99.32,92.6,93.16,92.59,"121,361,400"
10/28/2022,99.58,100.85,97.51,99.2,98.59,"95,928,300"
10/27/2022,97.98,102.5,96.38,97.94,97.34,"232,316,600"
10/26/2022,131.68,135.55,128.53,129.82,129.02,"82,791,500"
10/25/2022,130.88,138.35,130.59,137.51,136.67,"38,433,200"
10/24/2022,127.25,133.48,124.57,129.72,128.93,"63,563,400"
10/21/2022,126.31,130.12,125.44,130.01,129.21,"46,348,600"
10/20/2022,132.93,136.77,131.31,131.53,130.72,"26,356,300"
10/19/2022,132.89,137,132.22,133.23,132.41,"30,691,000"
10/18/2022,137.09,137.84,131.4,132.8,131.99,"25,445,000"
10/17/2022,130.3,134.79,130.18,134.04,133.22,"29,612,200"
10/14/2022,131,131.79,126.52,126.76,125.98,"23,559,400"
10/13/2022,123.53,131.14,122.53,130.29,129.49,"34,325,700"
10/12/2022,128.32,129.67,126.25,127.5,126.72,"34,605,200"
10/11/2022,131.62,132.66,126.99,128.54,127.75,"38,481,400"
10/10/2022,133.55,136.11,131.87,133.79,132.97,"24,024,000"
10/7/2022,136.76,138.29,132.44,133.45,132.63,"33,214,800"
10/6/2022,137.72,141.45,136.6,139.07,138.22,"36,231,100"
10/5/2022,138.24,140.21,134.78,138.98,138.13,"27,979,300"
10/4/2022,140.49,142.39,139.34,140.28,139.42,"34,670,700"
10/3/2022,137.14,139.62,136.1,138.61,137.76,"27,723,100"
9/30/2022,136.05,140.99,135.5,135.68,134.85,"33,166,400"
9/29/2022,139.36,139.84,135.2,136.41,135.57,"38,985,400"
9/28/2022,134.62,142.03,134.27,141.61,140.74,"32,658,500"
9/27/2022,137.92,139.42,134.12,134.4,133.58,"30,826,500"
9/26/2022,140.12,142.24,136.19,136.37,135.53,"30,497,000"
9/23/2022,141.42,142.62,138.89,140.41,139.55,"31,710,700"
9/22/2022,141.55,144.58,140.87,142.82,141.94,"34,418,500"
9/21/2022,146.39,149.6,142,142.12,141.25,"38,338,600"
9/20/2022,145.78,148.84,145.22,146.09,145.19,"23,217,400"
9/19/2022,145.24,148.58,145.1,148.02,147.11,"22,169,500"
9/16/2022,148.05,148.58,144.29,146.29,145.39,"40,122,800"
9/15/2022,149.8,154.2,148.7,149.55,148.63,"34,606,300"
9/14/2022,153.33,153.54,149.05,151.47,150.54,"43,064,200"
9/13/2022,161.54,161.63,152.67,153.13,152.19,"44,444,100"
