Date,Open,High,Low,Close,Adj Close,Volume
12/30/2022,14.33,14.63,14.23,14.61,14.6,"310,490,000"
12/29/2022,14.4,14.68,14.23,14.6,14.59,"354,923,000"
12/28/2022,13.93,14.26,13.88,14.04,14.02,"351,066,000"
12/27/2022,15.07,15.1,14.06,14.12,14.11,"464,902,000"
12/23/2022,15.2,15.34,14.88,15.21,15.19,"349,326,000"
12/22/2022,16.09,16.14,14.88,15.34,15.32,"565,045,000"
12/21/2022,16.11,16.63,16.1,16.5,16.49,"325,025,000"
12/20/2022,16.06,16.31,15.85,16.08,16.07,"403,260,000"
12/19/2022,16.57,16.61,16.15,16.25,16.24,"354,039,000"
12/16/2022,16.86,17.04,16.41,16.57,16.56,"478,232,000"
12/15/2022,17.15,17.32,16.7,16.95,16.94,"478,542,000"
12/14/2022,17.99,18.25,17.42,17.67,17.66,"496,888,000"
12/13/2022,18.53,18.79,17.71,18.07,18.05,"656,589,000"
12/12/2022,17.04,17.54,16.8,17.53,17.52,"457,328,000"
12/9/2022,17.16,17.58,16.98,17,16.98,"465,338,000"
12/8/2022,16.27,17.18,15.96,17.17,17.15,"515,456,000"
12/7/2022,15.77,16.19,15.67,16.12,16.1,"372,388,000"
12/6/2022,16.53,16.57,15.82,15.99,15.97,"352,694,000"
12/5/2022,16.68,17,16.47,16.61,16.59,"352,255,000"
12/2/2022,16.66,16.93,16.44,16.88,16.86,"371,389,000"
12/1/2022,17,17.26,16.64,17.14,17.12,"470,977,000"
11/30/2022,0.004 Dividend,,,,,
11/30/2022,15.7,16.93,15.6,16.92,16.91,"565,298,000"
11/29/2022,15.83,15.93,15.52,15.64,15.62,"298,384,000"
11/28/2022,16.03,16.36,15.73,15.83,15.81,"303,741,000"
11/25/2022,16.32,16.49,16.17,16.27,16.25,"167,934,000"
11/23/2022,16.1,16.53,16.05,16.52,16.5,"427,241,000"
11/22/2022,15.33,16.06,15.12,16.04,16.02,"472,866,000"
11/21/2022,15.15,15.48,15.08,15.32,15.3,"404,739,000"
11/18/2022,15.97,16,15.12,15.41,15.39,"492,072,000"
11/17/2022,15.72,16.27,15.53,15.68,15.66,"710,894,000"
11/16/2022,16.16,16.36,15.87,15.91,15.89,"649,547,000"
11/15/2022,16.72,17,16.38,16.67,16.65,"545,876,000"
11/14/2022,16.22,16.54,15.92,16.3,16.28,"527,852,000"
11/11/2022,15.81,16.39,15.48,16.33,16.31,"655,487,000"
11/10/2022,14.8,15.77,14.55,15.75,15.73,"700,819,000"
11/9/2022,14.16,14.21,13.76,13.78,13.76,"454,414,000"
11/8/2022,14.8,14.89,14.22,14.6,14.58,"595,292,000"
11/7/2022,14.23,14.41,13.95,14.3,14.28,"410,061,000"
11/4/2022,13.99,14.23,13.7,14.16,14.14,"612,576,000"
11/3/2022,13.04,13.78,12.96,13.42,13.4,"500,065,000"
11/2/2022,13.85,14.21,13.21,13.22,13.2,"672,628,000"
11/1/2022,13.81,13.93,13.52,13.54,13.53,"432,817,000"
10/31/2022,13.78,13.84,13.3,13.5,13.48,"486,341,000"
10/28/2022,13.1,13.85,13.06,13.83,13.82,"521,040,000"
10/27/2022,13.63,13.84,13.12,13.18,13.16,"583,113,000"
10/26/2022,12.87,13.39,12.71,12.9,12.88,"532,953,000"
10/25/2022,12.69,13.3,12.66,13.26,13.25,"505,482,000"
10/24/2022,12.51,12.71,12.06,12.6,12.58,"517,457,000"
10/21/2022,12.1,12.5,11.89,12.47,12.45,"609,494,000"
10/20/2022,12.11,12.77,12.1,12.19,12.18,"652,398,000"
10/19/2022,11.88,12.35,11.83,12.05,12.04,"523,131,000"
10/18/2022,12.34,12.49,11.62,11.97,11.95,"659,362,000"
10/17/2022,11.52,11.95,11.52,11.89,11.87,"580,774,000"
10/14/2022,12.06,12.11,11.2,11.23,11.21,"713,432,000"
10/13/2022,10.97,12.08,10.81,11.96,11.95,"850,103,000"
10/12/2022,11.58,11.73,11.35,11.5,11.49,"492,590,000"
10/11/2022,11.56,11.85,11.28,11.59,11.57,"667,482,000"
10/10/2022,12.04,12.12,11.41,11.67,11.66,"698,699,000"
10/7/2022,12.51,12.67,12.02,12.08,12.06,"672,478,000"
10/6/2022,13.22,13.66,13.1,13.13,13.11,"644,157,000"
10/5/2022,12.91,13.32,12.62,13.21,13.19,"507,131,000"
10/4/2022,12.88,13.22,12.88,13.17,13.15,"584,182,000"
10/3/2022,12.35,12.68,12.1,12.51,12.5,"547,478,000"
9/30/2022,12.09,12.63,12.07,12.14,12.12,"565,638,000"
9/29/2022,12.45,12.5,11.95,12.22,12.21,"532,763,000"
9/28/2022,12.41,12.82,12.35,12.74,12.72,"542,414,000"
9/27/2022,12.51,12.74,12.26,12.41,12.4,"553,854,000"
9/26/2022,12.49,12.66,12.21,12.23,12.21,"547,343,000"
9/23/2022,12.42,12.61,12.26,12.52,12.5,"663,309,000"
9/22/2022,13.07,13.15,12.43,12.56,12.55,"759,162,000"
9/21/2022,13.21,14.03,13.11,13.26,13.25,"807,679,000"
9/20/2022,13.22,13.48,13.06,13.18,13.16,"524,818,000"
9/19/2022,13.01,13.46,13.01,13.38,13.37,"569,685,000"
9/16/2022,12.74,13.21,12.62,13.2,13.18,"670,751,000"
9/15/2022,13.02,13.23,12.79,12.93,12.91,"523,625,000"
9/14/2022,13.25,13.29,12.91,13.13,13.11,"588,507,000"
9/13/2022,13.8,13.92,13.1,13.13,13.12,"714,956,000"
9/12/2022,14.37,14.55,14.2,14.51,14.49,"484,159,000"
9/9/2022,14.16,14.47,14.13,14.39,14.37,"486,612,000"
9/8/2022,13.46,14.01,13.37,13.99,13.97,"624,873,000"
9/7/2022,0.004 Dividend,,,,,
9/7/2022,13.56,13.84,13.35,13.71,13.7,"512,657,000"
9/6/2022,13.73,13.78,13.35,13.47,13.44,"535,751,000"
9/2/2022,14.1,14.17,13.59,13.65,13.63,"743,157,000"
9/1/2022,14.21,14.38,13.27,13.94,13.92,"1,178,865,000"
8/31/2022,15.38,15.54,14.96,15.09,15.07,"573,710,000"
8/30/2022,15.96,16.04,15.18,15.47,15.44,"530,181,000"
8/29/2022,16.02,16.34,15.77,15.8,15.78,"496,132,000"
8/26/2022,17.86,17.92,16.24,16.26,16.24,"769,127,000"
8/25/2022,16.84,17.95,16.83,17.91,17.89,"770,691,000"
8/24/2022,17.01,17.41,16.9,17.22,17.2,"522,661,000"
8/23/2022,16.99,17.47,16.97,17.18,17.16,"369,986,000"
8/22/2022,17.49,17.56,16.97,17.03,17.01,"409,593,000"
8/19/2022,18.41,18.52,17.77,17.85,17.82,"441,588,000"
8/18/2022,18.3,18.86,18.18,18.77,18.74,"415,447,000"
8/17/2022,18.52,18.69,18.15,18.33,18.31,"446,799,000"
8/16/2022,18.92,19.14,18.5,18.88,18.85,"451,240,000"
8/15/2022,18.7,19.16,18.61,19.03,19,"457,666,000"
8/12/2022,18.16,18.72,17.95,18.71,18.68,"478,094,000"
8/11/2022,18.13,18.71,17.88,17.94,17.92,"509,327,000"
8/10/2022,17.7,18.12,17.32,18.1,18.07,"597,422,000"
8/9/2022,17.25,17.45,16.72,17.09,17.06,"668,263,000"
8/8/2022,17.5,18.24,17.24,17.79,17.77,"981,859,000"
8/5/2022,18.81,19.23,18.67,18.99,18.96,"386,068,000"
8/4/2022,18.85,19.27,18.76,19.22,19.19,"409,652,000"
8/3/2022,18.18,18.97,18.14,18.89,18.86,"418,146,000"
8/2/2022,18.12,18.94,18.09,18.53,18.5,"489,527,000"
8/1/2022,18.18,18.85,17.99,18.44,18.41,"476,469,000"
7/29/2022,17.81,18.24,17.69,18.16,18.14,"435,460,000"
7/28/2022,17.98,18.14,17.44,17.98,17.96,"474,646,000"
7/27/2022,17.03,17.94,16.91,17.79,17.76,"569,776,000"
7/26/2022,16.89,16.92,16.48,16.53,16.51,"397,865,000"
