Date,Open,High,Low,Close,Adj Close,Volume
12/30/2022,119.95,124.48,119.75,123.18,123.18,"157,777,300"
12/29/2022,120.39,123.57,117.5,121.82,121.82,"221,923,300"
12/28/2022,110.35,116.27,108.24,112.71,112.71,"221,070,500"
12/27/2022,117.5,119.67,108.76,109.1,109.1,"208,643,400"
12/23/2022,126.37,128.62,121.02,123.15,123.15,"166,989,700"
12/22/2022,136,136.63,122.26,125.35,125.35,"210,090,300"
12/21/2022,139.34,141.26,135.89,137.57,137.57,"145,417,400"
12/20/2022,146.05,148.47,137.66,137.8,137.8,"159,563,300"
12/19/2022,154,155.25,145.82,149.87,149.87,"139,390,600"
12/16/2022,159.64,160.99,150.04,150.23,150.23,"139,032,200"
12/15/2022,153.44,160.93,153.28,157.67,157.67,"122,334,500"
12/14/2022,159.25,161.62,155.31,156.8,156.8,"140,682,300"
12/13/2022,174.87,175.05,156.91,160.95,160.95,"175,862,700"
12/12/2022,176.1,177.37,167.52,167.82,167.82,"109,794,500"
12/9/2022,173.84,182.5,173.36,179.05,179.05,"104,872,300"
12/8/2022,172.2,175.2,169.06,173.44,173.44,"97,624,500"
12/7/2022,175.03,179.38,172.22,174.04,174.04,"84,213,300"
12/6/2022,181.22,183.65,175.33,179.82,179.82,"92,150,800"
12/5/2022,189.44,191.27,180.55,182.45,182.45,"93,122,700"
12/2/2022,191.78,196.25,191.11,194.86,194.86,"73,645,900"
12/1/2022,197.08,198.92,191.8,194.7,194.7,"80,046,200"
11/30/2022,182.43,194.76,180.63,194.7,194.7,"109,186,400"
11/29/2022,184.99,186.38,178.75,180.83,180.83,"83,357,100"
11/28/2022,179.96,188.5,179,182.92,182.92,"92,905,200"
11/25/2022,185.06,185.2,180.63,182.86,182.86,"50,672,700"
11/23/2022,173.57,183.62,172.5,183.2,183.2,"109,536,700"
11/22/2022,168.63,170.92,166.19,169.91,169.91,"78,452,300"
11/21/2022,175.85,176.77,167.54,167.87,167.87,"92,882,700"
11/18/2022,185.05,185.19,176.55,180.19,180.19,"76,048,900"
11/17/2022,183.96,186.16,180.9,183.17,183.17,"64,336,000"
11/16/2022,191.51,192.57,185.66,186.92,186.92,"66,567,600"
11/15/2022,195.88,200.82,192.06,194.42,194.42,"91,293,800"
11/14/2022,192.77,195.73,186.34,190.95,190.95,"92,226,600"
11/11/2022,186,196.52,182.59,195.97,195.97,"114,403,600"
11/10/2022,189.9,191,180.03,190.72,190.72,"132,703,000"
11/9/2022,190.78,195.89,177.12,177.59,177.59,"127,062,700"
11/8/2022,194.02,195.2,186.75,191.3,191.3,"128,803,400"
11/7/2022,208.65,208.9,196.66,197.08,197.08,"93,916,500"
11/4/2022,222.6,223.8,203.08,207.47,207.47,"98,622,200"
11/3/2022,211.36,221.2,210.14,215.31,215.31,"56,538,800"
11/2/2022,226.04,227.87,214.82,214.98,214.98,"63,070,300"
11/1/2022,234.05,237.4,227.28,227.82,227.82,"62,688,800"
10/31/2022,226.19,229.85,221.94,227.54,227.54,"61,554,300"
10/28/2022,225.4,228.86,216.35,228.52,228.52,"69,152,400"
10/27/2022,229.77,233.81,222.85,225.09,225.09,"61,638,800"
10/26/2022,219.4,230.6,218.2,224.64,224.64,"85,012,500"
10/25/2022,210.1,224.35,210,222.42,222.42,"96,507,900"
10/24/2022,205.82,213.5,198.59,211.25,211.25,"100,446,800"
10/21/2022,206.42,214.66,203.8,214.44,214.44,"75,713,800"
10/20/2022,208.28,215.55,202,207.28,207.28,"117,798,100"
10/19/2022,219.8,222.93,217.78,222.04,222.04,"66,571,500"
10/18/2022,229.5,229.82,217.25,220.19,220.19,"75,891,900"
10/17/2022,210.04,221.86,209.45,219.35,219.35,"79,428,800"
10/14/2022,224.01,226.26,204.16,204.99,204.99,"94,124,500"
10/13/2022,208.3,222.99,206.22,221.72,221.72,"91,483,000"
10/12/2022,215.33,219.3,211.51,217.24,217.24,"66,860,700"
10/11/2022,220.95,225.75,215,216.5,216.5,"77,013,200"
10/10/2022,223.93,226.99,218.36,222.96,222.96,"67,925,000"
10/7/2022,233.94,234.57,222.02,223.07,223.07,"83,916,800"
10/6/2022,239.44,244.58,235.35,238.13,238.13,"69,298,400"
10/5/2022,245.01,246.67,233.27,240.81,240.81,"86,982,700"
10/4/2022,250.52,257.5,242.01,249.44,249.44,"109,578,500"
10/3/2022,254.5,255.16,241.01,242.4,242.4,"98,363,500"
9/30/2022,266.15,275.57,262.47,265.25,265.25,"67,726,600"
9/29/2022,282.76,283.65,265.78,268.21,268.21,"77,620,600"
9/28/2022,283.08,289,277.57,287.81,287.81,"54,664,800"
9/27/2022,283.84,288.67,277.51,282.94,282.94,"61,925,200"
9/26/2022,271.83,284.09,270.31,276.01,276.01,"58,076,900"
9/23/2022,283.09,284.5,272.82,275.33,275.33,"63,748,400"
9/22/2022,299.86,301.29,285.82,288.59,288.59,"70,545,400"
9/21/2022,308.29,313.8,300.63,300.8,300.8,"62,555,700"
9/20/2022,306.91,313.33,305.58,308.73,308.73,"61,642,800"
9/19/2022,300.09,309.84,297.8,309.07,309.07,"60,231,200"
9/16/2022,299.61,303.71,295.6,303.35,303.35,"87,087,800"
9/15/2022,301.83,309.12,300.72,303.75,303.75,"64,795,500"
9/14/2022,292.24,306,291.64,302.61,302.61,"72,628,700"
9/13/2022,292.9,297.4,290.4,292.13,292.13,"68,229,600"
9/12/2022,300.72,305.49,300.4,304.42,304.42,"48,674,600"
9/9/2022,291.67,299.85,291.25,299.68,299.68,"54,338,100"
9/8/2022,281.3,289.5,279.76,289.26,289.26,"53,713,100"
9/7/2022,273.1,283.84,272.27,283.7,283.7,"50,028,900"
9/6/2022,272.68,275.99,265.74,274.42,274.42,"55,860,000"
9/2/2022,281.07,282.35,269.08,270.21,270.21,"50,890,100"
9/1/2022,272.58,277.58,266.15,277.16,277.16,"54,287,000"
8/31/2022,280.62,281.25,271.81,275.61,275.61,"52,107,300"
8/30/2022,287.87,288.48,272.65,277.7,277.7,"50,541,800"
8/29/2022,282.83,287.74,280.7,284.82,284.82,"41,864,700"
8/26/2022,297.43,302,287.47,288.09,288.09,"57,163,900"
8/25/2022,3:1 Stock Splits,,,,,
8/25/2022,302.36,302.96,291.6,296.07,296.07,"53,230,000"
8/24/2022,297.56,303.65,296.5,297.1,297.1,"57,259,800"
8/23/2022,291.45,298.83,287.92,296.45,296.45,"63,984,900"
8/22/2022,291.91,292.4,286.3,289.91,289.91,"55,843,200"
8/19/2022,299,300.36,292.5,296.67,296.67,"61,395,300"
8/18/2022,306,306.5,301.85,302.87,302.87,"47,500,500"
8/17/2022,303.4,309.66,300.03,304,304,"68,766,000"
8/16/2022,311.67,314.67,302.88,306.56,306.56,"88,136,400"
8/15/2022,301.79,313.13,301.23,309.32,309.32,"89,359,200"
8/12/2022,289.42,300.16,285.03,300.03,300.03,"79,657,200"
8/11/2022,296.51,298.24,285.83,286.63,286.63,"70,155,000"
8/10/2022,297.07,297.51,283.37,294.36,294.36,"94,918,800"
8/9/2022,290.29,292.4,279.35,283.33,283.33,"86,244,600"
8/8/2022,295,305.2,289.09,290.42,290.42,"98,994,000"
8/5/2022,302.67,304.61,285.54,288.17,288.17,"113,172,900"
8/4/2022,311,313.61,305,308.63,308.63,"72,256,200"
8/3/2022,305,309.55,301.15,307.4,307.4,"80,091,000"
8/2/2022,294,307.83,292.67,300.59,300.59,"95,577,600"
8/1/2022,301.28,311.88,295,297.28,297.28,"117,042,900"
7/29/2022,280.7,298.32,279.1,297.15,297.15,"95,313,000"
7/28/2022,280.07,283.3,272.8,280.9,280.9,"84,723,000"
7/27/2022,263.81,275.93,261.79,274.82,274.82,"88,110,000"
7/26/2022,266.51,267.31,256.26,258.86,258.86,"66,820,800"
7/25/2022,272.22,274.15,267.4,268.43,268.43,"64,073,400"
7/22/2022,276.22,280.79,270.71,272.24,272.24,"103,472,700"
7/21/2022,255.11,273.27,254.87,271.71,271.71,"142,032,300"
7/20/2022,246.78,250.66,243.48,247.5,247.5,"88,864,200"
7/19/2022,245,247.14,236.98,245.53,245.53,"80,890,200"
7/18/2022,244.94,250.52,239.6,240.55,240.55,"82,537,500"
7/15/2022,240,243.62,236.89,240.07,240.07,"69,683,100"
7/14/2022,234.9,238.65,229.33,238.31,238.31,"78,557,400"
7/13/2022,225.5,242.06,225.03,237.04,237.04,"97,954,500"
7/12/2022,236.85,239.77,228.37,233.07,233.07,"87,930,900"
7/11/2022,252.1,253.06,233.63,234.34,234.34,"99,241,200"
7/8/2022,242.33,254.98,241.16,250.76,250.76,"101,854,200"
7/7/2022,233.92,245.36,232.21,244.54,244.54,"81,930,600"
7/6/2022,230.78,234.56,227.19,231.73,231.73,"71,853,600"
7/5/2022,223,233.15,216.17,233.07,233.07,"84,581,100"
7/1/2022,227,230.23,222.12,227.26,227.26,"74,460,300"
